edge_id:int,source_node_id:int,target_node_id:int,edge_label_id:int
0,72,100,0
1,47,101,0
2,47,102,0
3,47,103,0
4,47,104,0
5,47,105,0
6,23,106,0
7,23,107,0
8,23,108,0
9,23,109,0
10,23,110,0
11,23,111,0
12,23,112,0
13,23,113,0
14,23,114,0
15,23,115,0
16,23,116,0
17,8,117,0
18,42,118,0
19,42,119,0
20,42,120,0
21,42,121,0
22,74,122,0
23,74,123,0
24,74,124,0
25,74,125,0
26,74,126,0
27,74,127,0
28,74,128,0
29,74,129,0
30,74,130,0
31,74,131,0
32,74,132,0
33,74,133,0
34,74,134,0
35,74,135,0
36,74,136,0
37,74,137,0
38,74,138,0
39,74,139,0
40,74,140,0
41,74,141,0
42,74,142,0
43,74,143,0
44,74,144,0
45,74,145,0
46,74,146,0
47,74,147,0
48,74,148,0
49,74,149,0
50,74,150,0
51,74,151,0
52,7,152,0
53,7,153,0
54,7,154,0
55,31,155,0
56,31,156,0
57,31,157,0
58,31,158,0
59,31,159,0
60,31,160,0
61,31,161,0
62,31,162,0
63,31,163,0
64,7,164,0
65,7,165,0
66,57,166,0
67,57,167,0
68,57,168,0
69,57,169,0
70,24,170,0
71,24,171,0
72,24,172,0
73,24,173,0
74,24,174,0
75,24,175,0
76,24,176,0
77,24,177,0
78,24,178,0
79,24,179,0
80,24,180,0
81,24,181,0
82,24,182,0
83,25,183,0
84,25,184,0
85,25,185,0
86,25,186,0
87,25,187,0
88,25,188,0
89,57,189,0
90,44,190,0
91,44,191,0
92,44,192,0
93,44,193,0
94,44,194,0
95,44,195,0
96,44,196,0
97,44,197,0
98,44,198,0
99,44,199,0
100,44,200,0
101,44,201,0
102,31,202,0
103,31,203,0
104,31,204,0
105,31,205,0
106,31,206,0
107,31,207,0
108,31,208,0
109,7,209,0
110,7,210,0
111,7,211,0
112,25,212,0
113,25,213,0
114,25,214,0
115,25,215,0
116,25,216,0
117,25,217,0
118,25,218,0
119,25,219,0
120,41,220,0
121,41,221,0
122,41,222,0
123,41,223,0
124,41,224,0
125,23,225,0
126,23,226,0
127,23,227,0
128,23,228,0
129,26,229,0
130,26,230,0
131,26,231,0
132,26,232,0
133,26,233,0
134,26,234,0
135,11,235,0
136,11,236,0
137,7,237,0
138,7,238,0
139,41,239,0
140,41,240,0
141,41,241,0
142,24,242,0
143,24,243,0
144,24,244,0
145,24,245,0
146,24,246,0
147,44,247,0
148,44,248,0
149,44,249,0
150,44,250,0
151,44,251,0
152,44,252,0
153,44,253,0
154,7,254,0
155,7,255,0
156,42,256,0
157,42,257,0
158,42,258,0
159,42,259,0
160,15,260,0
161,15,261,0
162,15,262,0
163,15,263,0
164,15,264,0
165,15,265,0
166,30,266,0
167,64,267,0
168,61,267,0
169,64,268,0
170,64,269,0
171,64,270,0
172,40,271,0
173,40,272,0
174,40,273,0
175,33,274,0
176,33,275,0
177,33,276,0
178,33,277,0
179,33,278,0
180,33,279,0
181,33,280,0
182,33,281,0
183,33,282,0
184,33,283,0
185,33,284,0
186,33,285,0
187,33,286,0
188,33,287,0
189,33,288,0
190,33,289,0
191,33,290,0
192,33,291,0
193,33,292,0
194,33,293,0
195,33,294,0
196,33,295,0
197,33,296,0
198,33,297,0
199,33,298,0
200,33,299,0
201,33,300,0
202,33,301,0
203,33,302,0
204,33,303,0
205,33,304,0
206,33,305,0
207,33,306,0
208,27,307,0
209,27,308,0
210,15,309,0
211,15,310,0
212,15,311,0
213,72,312,0
214,72,313,0
215,72,314,0
216,72,315,0
217,71,316,0
218,71,317,0
219,71,318,0
220,71,319,0
221,71,320,0
222,71,321,0
223,71,322,0
224,71,323,0
225,71,324,0
226,71,325,0
227,71,326,0
228,71,327,0
229,71,328,0
230,71,329,0
231,71,330,0
232,71,331,0
233,74,332,0
234,74,333,0
235,74,334,0
