node_id:int,node_label:int,node_name:string,userid:string,phone_number:string,phone_head:string,phone_length:string
0,0,User0,u0001,,,
1,0,User1,u0002,,,
2,0,User2,u0003,,,
3,0,User3,u0004,,,
4,0,User4,u0005,,,
5,0,User5,u0006,,,
6,0,User6,u0007,,,
7,0,User7,u0008,,,
8,0,User8,u0009,,,
9,0,User9,u0010,,,
10,0,User10,u0011,,,
11,0,User11,u0012,,,
12,0,User12,u0013,,,
13,0,User13,u0014,,,
14,0,User14,u0015,,,
15,0,User15,u0016,,,
16,0,User16,u0017,,,
17,0,User17,u0018,,,
18,0,User18,u0019,,,
19,0,User19,u0020,,,
20,0,User20,u0021,,,
21,0,User21,u0022,,,
22,0,User22,u0023,,,
23,0,User23,u0024,,,
24,0,User24,u0025,,,
25,0,User25,u0026,,,
26,0,User26,u0027,,,
27,0,User27,u0028,,,
28,0,User28,u0029,,,
29,0,User29,u0030,,,
30,0,User30,u0031,,,
31,0,User31,u0032,,,
32,0,User32,u0033,,,
33,0,User33,u0034,,,
34,0,User34,u0035,,,
35,0,User35,u0036,,,
36,0,User36,u0037,,,
37,0,User37,u0038,,,
38,0,User38,u0039,,,
39,0,User39,u0040,,,
40,0,User40,u0041,,,
41,0,User41,u0042,,,
42,0,User42,u0043,,,
43,0,User43,u0044,,,
44,0,User44,u0045,,,
45,0,User45,u0046,,,
46,0,User46,u0047,,,
47,0,User47,u0048,,,
48,0,User48,u0049,,,
49,0,User49,u0050,,,
50,0,User50,u0051,,,
51,0,User51,u0052,,,
52,0,User52,u0053,,,
53,0,User53,u0054,,,
54,0,User54,u0055,,,
55,0,User55,u0056,,,
56,0,User56,u0057,,,
57,0,User57,u0058,,,
58,0,User58,u0059,,,
59,0,User59,u0060,,,
60,0,User60,u0061,,,
61,0,User61,u0062,,,
62,0,User62,u0063,,,
63,0,User63,u0064,,,
64,0,User64,u0065,,,
65,0,User65,u0066,,,
66,0,User66,u0067,,,
67,0,User67,u0068,,,
68,0,User68,u0069,,,
69,0,User69,u0070,,,
70,0,User70,u0071,,,
71,0,User71,u0072,,,
72,0,User72,u0073,,,
73,0,User73,u0074,,,
74,0,User74,u0075,,,
75,0,User75,u0076,,,
76,0,User76,u0077,,,
77,0,User77,u0078,,,
78,0,User78,u0079,,,
79,0,User79,u0080,,,
80,0,User80,u4980,,,
81,0,User81,u4981,,,
82,0,User82,u4982,,,
83,0,User83,u4983,,,
84,0,User84,u4984,,,
85,0,User85,u4985,,,
86,0,User86,u4986,,,
87,0,User87,u4987,,,
88,0,User88,u4988,,,
89,0,User89,u4989,,,
90,0,User90,u4990,,,
91,0,User91,u4991,,,
92,0,User92,u4992,,,
93,0,User93,u4993,,,
94,0,User94,u4994,,,
95,0,User95,u4995,,,
96,0,User96,u4996,,,
97,0,User97,u4997,,,
98,0,User98,u4998,,,
99,0,User99,u4999,,,
100,1,Phone100,,9808BB994AB33432DE15AD5D560A49AE,137,11
101,1,Phone101,,0129FA4AF9C1907F712D0BCD562E864A,051,12
102,1,Phone102,,BE4FAA936B055FA3CEC3AFC7724EA1DE,189,11
103,1,Phone103,,28F7513A186F469A939BA6A481266B6D,139,11
104,1,Phone104,,D975ED41CC9409107F82770FB25DCD11,138,11
105,1,Phone105,,22C0DBFB2B280FB976D0095950BA4390,189,11
106,1,Phone106,,8E52D111D1B4CA5BD748F83F0851F2AE,133,11
107,1,Phone107,,C849E156D9C53C6DEDE3131457EE47AE,138,11
108,1,Phone108,,9DAD4639CE9EDE01DAF74ABEEB6A8D60,136,11
109,1,Phone109,,9DE9F4F2F8FF1002235D7FE4F2004DD7,137,11
110,1,Phone110,,7FAF11D204CE8165A3F6FF899C4606F0,133,11
111,1,Phone111,,4A21FBF6879678B20668FB581397CD8E,138,11
112,1,Phone112,,97E1FE041E65309D6FF260B536E9E7AB,136,11
113,1,Phone113,,E917F8775D2F95B689D4A42208D0CEF7,158,11
114,1,Phone114,,EBEBC85B60917185B7630F76578CB726,133,11
115,1,Phone115,,9AC4648C25E0DD3DC4AB66B11B681672,132,11
116,1,Phone116,,ACAA37CD3FE1B70C2DB319927C522F7E,021,11
117,1,Phone117,,CE20BD2CAECE2820DE66419D7225CAC4,182,11
118,1,Phone118,,DE1D83AC26219178DE84B972E7D96860,130,11
119,1,Phone119,,64AEBA22CA201CC05F56F772A67CFB67,185,11
120,1,Phone120,,A4AF5FF4F5B4620D7BB4F6BA8983DECE,133,11
121,1,Phone121,,06E53693000D68EB244E83504527B85E,134,11
122,1,Phone122,,CA6A930BE8B9111779A41D8A0E184237,137,11
123,1,Phone123,,D33307490C7E0CAFBF4B3707F32B613B,139,11
124,1,Phone124,,2C831C20A2A8E32921DE68D45074B53D,139,11
125,1,Phone125,,ECF78B92F6B86F8EA00ECAECDDE42343,135,11
126,1,Phone126,,5FC82A150F5ABA7F3C2AFA99321F386A,159,11
127,1,Phone127,,1D3AC58904031D151A91D35393AD32BF,187,11
